"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","URL do site","Tipo de mídia","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",https://www.denavita.com.br/products/laranja-moro-cafe-verde-e-cromo-30-caps?utm_source=Influenciador&utm_campaign=Meta+performance&utm_content=meta+performance,Imagem,inactive,ad,3.68023876,617798,0,,14594.549949,5890,4793,2.47785228,1.10262578,23.62349821,"Compras no site",58.84899173,1021,0.04210526,248,3.28919427,"Valor de conversão da compra no site",48004.31,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","tons_sabrina_video-reels_23-09-2025 — Cópia","[PUBLICO ABERTO]",https://denavita.com.br/pages/tons-clareador-de-pele,Vídeo,inactive,ad,2.43019752,579867,0.20259473,,16467.71,7361,6035,2.23715664,1.82265933,28.39911566,"Compras no site",82.75231156,1293,0.02703437,199,2.74465727,"Valor de conversão da compra no site",45198.22,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS - ART 2","Evelyn Regly BM - LM",http://lm1.denavita.com.br/,Imagem,not_delivering,ad,3.44375731,571340,0,,8945.25,2942,2384,3.04053365,0.69310743,15.65661428,"Compras no site",53.56437126,608,0.05676411,167,3.03695704,"Valor de conversão da compra no site",27166.34,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]","AD - RMKT","[CAMPANHA AQUISIÇÃO]",http://denavita.com.br/pages/jejoom-denavita,Imagem,inactive,ad,4.92115989,559029,0,,12353.25,7271,5083,1.69897538,1.47666758,22.09769082,"Compras no site",50.21646341,948,0.03383304,246,4.46410135,"Valor de conversão da compra no site",55146.16,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD1 — Cópia","[PUBLICO ENG.] [DR]",https://denavita.com.br/pages/tons-clareador-de-pele,Imagem,active,ad,3.49201063,550505,0,,14585.2,6547,5234,2.22776844,1.48609004,26.49421894,"Compras no site",67.52407407,958,0.03299221,216,3.37773085,"Valor de conversão da compra no site",49264.88,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD1,"Arte - Organica Tons ###",https://denavita.com.br/pages/tons-clareador-de-pele,Imagem,not_delivering,ad,2.86978457,547773,0,,10969.82006215,5182,4070,2.11690854,1.21692745,20.02621535,"Compras no site",57.73589506,814,0.03666538,190,4.08111708,"Valor de conversão da compra no site",44769.12,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - RAIZA 3","[AQUISIÇÃO]  [ADV. +]",https://www.denavita.com.br/pages/lm1,Vídeo,inactive,ad,2.31896122,544346,0.14621583,,14829.340069,5381,4872,2.75587067,1.41986898,27.24248928,"Compras no site",50.95993151,1016,0.05407917,291,3.65787619,"Valor de conversão da compra no site",54243.89,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE MOFU 3","[BM JADE]",https://www.denavita.com.br/pages/lm1?utm_source=Influenciador&utm_campaign=Jade+Seba+-+Performance&utm_content=Laranja+Moro,Vídeo,inactive,ad,3.03288003,541269,0.10979384,,6877.2,4818,3838,1.42739726,1.15617188,12.70569717,"Compras no site",57.79159664,346,0.02469905,119,3.28013581,"Valor de conversão da compra no site",22558.15,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD1,"Arte - Organica Lm",http://www.denavita.com.br/pages/laranja-moro,Imagem,not_delivering,ad,2.58381256,520292,0,,5450.96999538,2519,1925,2.16394204,0.63810322,10.47675151,"Compras no site",65.67433729,362,0.03294958,83,3.14099876,"Valor de conversão da compra no site",17121.49,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD5 - TOFU","[PUBLICO ABERTO]",https://denavita.com.br/pages/tons-clareador-de-pele,Imagem,not_delivering,ad,3.2679526,507415,0,,12154.15100306,5564,4567,2.18442685,1.39392805,23.95307786,"Compras no site",51.94081625,1257,0.04205607,234,4.35568062,"Valor de conversão da compra no site",52939.6,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","TESTE CRIATIVOS COMENTARIOS","[PUBLICO ENG.] [DR]",https://denavita.com.br/pages/tons-clareador-de-pele,Vídeo,inactive,ad,1.4216303,506443,0.33858104,,10041.18,10632,9543,0.94443002,2.78432124,19.82687094,"Compras no site",65.62862745,1523,0.01439052,153,3.0723899,"Valor de conversão da compra no site",30850.42,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD7 - BOFU","[PUBLICO ABERTO]",https://www.denavita.com.br/pages/tons-clareador-de-pele,Imagem,not_delivering,ad,1.86452233,500490,0,,7918.15795896,3283,2620,2.41186657,0.80101501,15.82081152,"Compras no site",88.96806695,487,0.02710935,89,2.85386451,"Valor de conversão da compra no site",22597.35,2026-01-01,2026-05-25
