"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - TESTE] [ABO]","ADS 1","Conj - Vm",prospecting,not_delivering,ad,3.3042308,707112,0.14991967,,8789.64151101,3719,2696,2.36344219,,12.43033849,"Compras no site",68.1367559,454,0.03468674,129,3.05948428,"Valor de conversão da compra no site",26891.77,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"[TOFU] [TIK + ORG ] [ABERTO]",prospecting,inactive,ad,1.88726305,691446,0,,9007.46423092,4507,3667,1.99854986,,13.02699593,"Compras no site",71.48781136,680,0.02795651,126,2.38572249,"Valor de conversão da compra no site",21489.31,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - EVELYN MOFU","teste aquisição ate dia 15  - Lm",prospecting,inactive,ad,1.97369959,678702,0.07622049,,6207.61600975,3500,2674,1.77360457,,9.14630576,"Compras no site",87.4312114,273,0.02028571,71,2.02440679,"Valor de conversão da compra no site",12566.74,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - JESSICA","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,2.67423435,655158,0.19322057,,25086.21306763,8578,7785,2.92448275,,38.29032549,"Compras no site",62.40351509,1918,0.04686407,402,2.87099292,"Valor de conversão da compra no site",72022.34,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 2","Influ Isadora N. - Lm",prospecting,archived,ad,1.9405493,626648,0.24510411,,14071.79929156,6713,5645,2.09620129,,22.45566776,"Compras no site",58.38920868,1131,0.03590049,241,3.06202918,"Valor de conversão da compra no site",43088.26,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - BOFU","[BOFU] [ADV+ ABERTO] [ESTATICO]",prospecting,not_delivering,ad,2.32721668,625877,0.06318334,,4800.88446401,1851,1477,2.5936707,,7.67065168,"Compras no site",85.73007971,177,0.03025392,56,2.05216561,"Valor de conversão da compra no site",9852.21,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ANA MOFU","teste aquisição ate dia 15  - Lm",prospecting,inactive,ad,2.94698438,608234,0.11176948,,9145.25370221,4614,3102,1.98206626,,15.03574891,"Compras no site",70.89343955,454,0.02795839,129,2.39691984,"Valor de conversão da compra no site",21920.44,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - BOFU 1 — Cópia","[HIBRIDO] [ESTATICO ORG.] [BID 60]",existing,active,ad,8.13189045,604541,0.00035564,,7656.14709005,2962,2026,2.5847897,,12.66439677,"Compras no site",47.55370863,502,0.05435517,161,4.23715867,"Valor de conversão da compra no site",32440.31,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU ANA ELISA 22K","[EXCLUSÃO BASE] [ADV. +]",existing,active,ad,8.3130822,589888,0.12463552,,13196.00335716,13499,7470,0.97755414,,22.37035396,"Compras no site",57.37392764,786,0.0170383,230,3.67604332,"Valor de conversão da compra no site",48509.08,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,inactive,ad,3.65121366,589200,0.00052444,,13685.41305626,5088,4095,2.68974313,,23.22710974,"Compras no site",85.5338316,608,0.03144654,160,2.4957018,"Valor de conversão da compra no site",34154.71,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - EVELYN","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,not_delivering,ad,3.32160722,587682,0,,16761.5712843,4852,4112,3.45456951,,28.5214985,"Compras no site",53.21133741,1233,0.06492168,315,3.087485,"Valor de conversão da compra no site",51751.1,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Criativo Versão 2 - Sabrina 29/12","Influ Sabrina - LM TESTE TRAVA DE CPA",prospecting,archived,ad,2.37773445,571945,0.14441074,,6736.25513085,3055,1886,2.2049935,,11.77780229,"Compras no site",73.22016447,346,0.03011457,92,2.43845723,"Valor de conversão da compra no site",16426.07,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU","[AQUISIÇÃO]  [ADV. +]",existing,inactive,ad,6.97158977,554827,0.01853911,,17615.34975889,6326,4857,2.78459528,,31.74926555,"Compras no site",44.14874626,1181,0.06307303,399,4.81545817,"Valor de conversão da compra no site",84825.98,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,active,ad,3.32834761,552975,0.00042136,,13730.18889091,4603,3760,2.98287832,,24.82967384,"Compras no site",72.26415206,712,0.04127743,190,2.7944459,"Valor de conversão da compra no site",38368.27,2026-01-01,2026-05-25
